"Date","Price","Open","High","Low","Vol.","Change %"
"11/09/2018","7,039.15","7,095.45","7,104.39","6,982.89","201.79M","-1.67%"
"11/08/2018","7,158.59","7,176.19","7,192.32","7,125.14","180.86M","-0.62%"
"11/07/2018","7,203.13","7,068.50","7,205.96","7,057.71","190.61M","3.07%"
"11/06/2018","6,988.85","6,939.13","7,024.78","6,928.00","161.77M","0.75%"
"11/05/2018","6,937.09","6,946.15","6,952.93","6,859.80","178.39M","-0.40%"
"11/02/2018","6,965.29","7,042.30","7,085.27","6,909.07","254.01M","-1.47%"
"11/01/2018","7,069.17","6,980.79","7,071.84","6,932.21","226.56M","1.47%"
"10/31/2018","6,967.10","6,933.11","7,030.51","6,924.09","268.15M","2.31%"
"10/30/2018","6,810.12","6,673.84","6,816.27","6,652.53","267.33M","1.43%"
"10/29/2018","6,713.90","6,954.69","6,973.19","6,574.74","255.79M","-2.02%"
"10/26/2018","6,852.40","6,804.69","6,976.94","6,743.77","290.88M","-2.34%"
"10/25/2018","7,016.39","6,891.27","7,063.93","6,866.75","243.29M","3.35%"
"10/24/2018","6,789.15","7,101.85","7,117.34","6,777.47","267.79M","-4.63%"
"10/23/2018","7,118.67","7,002.69","7,149.13","6,933.56","218.17M","-0.32%"
"10/22/2018","7,141.21","7,146.03","7,193.72","7,088.90","169.56M","0.48%"
"10/19/2018","7,107.23","7,169.45","7,227.96","7,080.74","214.45M","-0.12%"
"10/18/2018","7,116.09","7,250.93","7,251.54","7,081.89","193.62M","-2.23%"
"10/17/2018","7,278.63","7,310.00","7,311.85","7,205.76","166.98M","0.03%"
"10/16/2018","7,276.43","7,141.67","7,291.26","7,133.29","176.56M","2.94%"
"10/15/2018","7,068.67","7,129.31","7,144.16","7,047.47","167.30M","-1.24%"
"10/12/2018","7,157.21","7,150.21","7,179.03","7,019.89","236.56M","2.77%"
"10/11/2018","6,964.03","7,013.48","7,120.10","6,892.89","298.37M","-1.14%"
"10/10/2018","7,044.50","7,319.81","7,329.24","7,042.06","273.42M","-4.44%"
"10/09/2018","7,371.61","7,352.44","7,430.36","7,339.86","167.88M","0.26%"
"10/08/2018","7,352.82","7,356.54","7,415.54","7,267.02","172.27M","-0.62%"
"10/05/2018","7,399.01","7,482.04","7,510.45","7,327.44","183.08M","-1.21%"
"10/04/2018","7,490.00","7,603.01","7,608.24","7,436.26","180.33M","-1.93%"
"10/03/2018","7,637.43","7,663.09","7,676.90","7,625.60","149.01M","0.12%"
"10/02/2018","7,628.28","7,632.37","7,685.36","7,610.24","158.24M","-0.22%"
"10/01/2018","7,645.45","7,673.00","7,700.56","7,627.47","151.99M","0.23%"
"09/28/2018","7,627.65","7,612.65","7,649.30","7,598.69","175.66M","-0.03%"
"09/27/2018","7,629.57","7,600.35","7,657.80","7,596.96","143.89M","0.88%"
"09/26/2018","7,563.09","7,563.96","7,637.62","7,553.26","166.80M","0.00%"
"09/25/2018","7,563.19","7,552.02","7,568.17","7,525.19","155.83M","0.19%"
"09/24/2018","7,548.75","7,477.45","7,554.95","7,447.23","186.58M","0.23%"
"09/21/2018","7,531.07","7,587.39","7,603.86","7,522.12","544.50M","-0.50%"
"09/20/2018","7,569.03","7,534.02","7,582.43","7,523.87","162.96M","1.05%"
"09/19/2018","7,490.32","7,498.24","7,513.34","7,441.56","134.09M","-0.05%"
"09/18/2018","7,494.40","7,440.86","7,531.20","7,436.53","150.61M","0.80%"
